InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice
2023-08-01,2266,1,55,32,1,1,55
2023-08-01,2593,1,52.5,32,1,1,52.5
2023-08-01,3378,,,32,1,1,
2023-08-01,25589,,,32,1,1,
2023-08-01,25617,,,32,1,1,
2023-08-01,25725,7,165.2,32,1,1,23.6
2023-08-01,25801,,,32,1,1,
2023-08-01,25854,,,32,1,1,
2023-08-01,25897,,,32,1,1,
2023-08-01,25910,,,32,1,1,
2023-08-01,25915,1,35.3,32,1,1,35.3
2023-08-01,25928,1,26.2,32,1,1,26.2
2023-08-01,25930,9,549.58,32,1,1,61.0644444444444
2023-08-01,31300,5,129.95,32,1,1,25.99
2023-08-01,31320,2,62.8,32,1,1,31.4
2023-08-01,31368,1,56.2,32,1,1,56.2
2023-08-01,37383,3,167.7,32,1,1,55.9
2023-08-01,44423,,,32,1,1,
2023-08-01,44424,,,32,1,1,
2023-08-01,48862,1,32.7,32,1,1,32.7
2023-08-01,52959,,,32,1,1,
2023-08-01,52960,3,95.1,32,1,1,31.7
2023-08-01,52992,,,32,1,1,
2023-08-01,53605,,,32,1,1,
2023-08-01,59565,1,61.8,32,1,1,61.8
2023-08-01,61117,,,32,1,1,
2023-08-01,61162,,,32,1,1,
2023-08-01,61277,1,48.9,32,1,1,48.9
2023-08-01,61615,,,32,1,1,
2023-08-01,62806,,,32,1,1,
2023-08-01,67524,,,32,1,1,
2023-08-01,68132,5,127.5,32,1,1,25.5
2023-08-01,95548,1,53.8,32,1,1,53.8
2023-08-01,97795,1,36,32,1,1,36
2023-08-01,98529,,,32,1,1,
2023-08-01,107752,4,109.87,32,1,1,27.4675
2023-08-01,25607,1,32.7,32,1,1,32.7
2023-08-01,25642,8,308,32,1,1,38.5
2023-08-01,25764,3,189.69,32,1,1,63.23
2023-08-01,25878,4,113.2,32,1,1,28.3
2023-08-01,25899,,,32,1,1,
2023-08-01,25902,,,32,1,1,
2023-08-01,25911,1,47,32,1,1,47
2023-08-01,25912,1,35.3,32,1,1,35.3
2023-08-01,25914,,,32,1,1,
2023-08-01,25922,,,32,1,1,
2023-08-01,25923,,,32,1,1,
2023-08-01,25924,,,32,1,1,
2023-08-01,25933,1,31.5,32,1,1,31.5
2023-08-01,26083,,,32,1,1,
2023-08-01,29813,,,32,1,1,
2023-08-01,31215,,,32,1,1,
2023-08-01,31369,1,56.2,32,1,1,56.2
2023-08-01,31743,,,32,1,1,
2023-08-01,34674,,,32,1,1,
2023-08-01,34690,,,32,1,1,
2023-08-01,44422,9,292.65,32,1,1,32.5166666666666
2023-08-01,47372,1,69.7,32,1,1,69.7
2023-08-01,48861,,,32,1,1,
2023-08-01,50588,1,31.4,32,1,1,31.4
