Дата,ПодрКод,НомКод,Кіл_сть,СумаПродажу,ЦінаПродажу
20.05.2023 0:00,34,25 879,3,"81,6","27,2"
09.05.2023 0:00,34,52 615,1,"34,5","34,5"
11.05.2023 0:00,34,44 422,2,"62,2","31,1"
08.08.2023 0:00,34,33 221,0,0,0
02.08.2023 0:00,34,53 487,5,"219,5","43,9"
13.04.2023 0:00,34,95 548,1,"44,3","44,3"
09.09.2023 0:00,34,25 606,0,0,0
30.10.2023 0:00,34,67 524,5,"174,95","34,99"
10.04.2023 0:00,34,25 906,0,0,0
31.10.2023 0:00,34,25 591,0,0,0
15.05.2023 0:00,34,31 370,0,0,0
02.06.2023 0:00,34,25 589,0,0,0
19.06.2023 0:00,34,101 209,1,65,65
04.07.2023 0:00,34,52 425,4,"120,8","30,2"
09.09.2023 0:00,34,61 255,6,"345,81","57,635"
03.05.2023 0:00,34,25 910,0,0,0
26.10.2023 0:00,34,29 813,0,0,0
17.05.2023 0:00,34,32 282,0,0,0
08.10.2023 0:00,34,25 899,0,0,0
20.09.2023 0:00,34,98 466,5,93,"18,6"
09.05.2023 0:00,34,67 948,0,0,0
30.04.2023 0:00,34,2 501,0,0,0
30.07.2023 0:00,34,61 255,7,"405,3","57,9"
10.08.2023 0:00,34,98 466,1,"18,6","18,6"
28.08.2023 0:00,34,67 360,2,"75,98","37,99"
29.10.2023 0:00,34,25 764,1,"56,9","56,9"
13.05.2023 0:00,34,34 688,0,0,0
31.08.2023 0:00,34,25 924,2,"119,4","59,7"
17.10.2023 0:00,34,25 687,1,"30,2","30,2"
05.05.2023 0:00,34,52 990,2,"65,4","32,7"
25.06.2023 0:00,34,31 301,0,0,0
16.08.2023 0:00,34,25 928,0,0,0
06.10.2023 0:00,34,48 868,0,0,0
30.10.2023 0:00,34,62 806,2,"82,6","41,3"
21.04.2023 0:00,34,25 896,0,0,0
28.05.2023 0:00,34,25 911,0,0,0
01.04.2023 0:00,34,47 369,0,0,0
17.05.2023 0:00,34,25 801,0,0,0
30.07.2023 0:00,34,25 606,2,"65,4","32,7"
06.10.2023 0:00,34,32 356,0,0,0
16.04.2023 0:00,34,61 278,0,0,0
21.07.2023 0:00,34,2 501,0,0,0
29.10.2023 0:00,34,33 221,0,0,0
10.06.2023 0:00,34,48 845,0,0,0
26.06.2023 0:00,34,61 256,0,0,0
04.04.2023 0:00,34,31 373,0,0,0
09.06.2023 0:00,34,61 117,0,0,0
13.06.2023 0:00,34,25 894,3,93,31
16.05.2023 0:00,34,31 745,1,"38,82","38,82"
18.09.2023 0:00,34,33 221,0,0,0
10.09.2023 0:00,34,98 529,0,0,0
24.06.2023 0:00,34,25 902,0,0,0
15.08.2023 0:00,34,25 911,0,0,0
21.04.2023 0:00,34,67 521,0,0,0
14.04.2023 0:00,34,69 088,0,0,0
15.09.2023 0:00,34,64 116,0,0,0
06.05.2023 0:00,34,31 743,0,0,0
26.08.2023 0:00,34,25 925,0,0,0
09.05.2023 0:00,34,25 926,2,"110,6","55,3"
31.07.2023 0:00,34,98 529,0,0,0
27.05.2023 0:00,34,69 088,0,0,0
06.10.2023 0:00,34,69 087,0,0,0
11.10.2023 0:00,34,25 924,0,0,0
16.09.2023 0:00,34,25 931,3,"94,2","31,4"
05.04.2023 0:00,34,25 951,0,0,0
13.10.2023 0:00,34,67 948,4,"218,4","54,6"
13.08.2023 0:00,34,61 618,0,0,0
13.06.2023 0:00,34,25 924,1,"59,7","59,7"
27.10.2023 0:00,34,61 243,0,0,0
07.04.2023 0:00,34,31 301,1,"36,5","36,5"
11.05.2023 0:00,34,25 914,0,0,0
30.07.2023 0:00,34,25 926,2,"121,6","60,8"
09.05.2023 0:00,34,27 289,0,0,0
07.05.2023 0:00,34,25 880,0,0,0
11.06.2023 0:00,34,97 795,2,72,36
24.10.2023 0:00,34,25 879,0,0,0
28.05.2023 0:00,34,31 369,0,0,0
30.10.2023 0:00,34,25 607,1,"32,7","32,7"
11.08.2023 0:00,34,97 134,0,0,0
08.04.2023 0:00,34,3 357,0,0,0
31.07.2023 0:00,34,61 157,0,0,0
26.09.2023 0:00,34,25 589,1,"59,5","59,5"
01.04.2023 0:00,34,101 209,5,"294,12","58,824"
23.05.2023 0:00,34,67 233,0,0,0
26.08.2023 0:00,34,25 913,1,"35,3","35,3"
13.05.2023 0:00,34,98 529,0,0,0
11.08.2023 0:00,34,61 126,0,0,0
02.05.2023 0:00,34,25 901,11,275,25
13.04.2023 0:00,34,25 936,2,"63,6","31,8"
29.10.2023 0:00,34,61 278,0,0,0
06.08.2023 0:00,34,59 934,0,0,0
20.10.2023 0:00,34,53 487,1,"55,1","55,1"
15.06.2023 0:00,34,67 245,2,113,"56,5"
23.07.2023 0:00,34,31 299,0,0,0
05.04.2023 0:00,34,31 370,0,0,0
23.06.2023 0:00,34,25 915,0,0,0
17.04.2023 0:00,34,44 424,0,0,0
10.09.2023 0:00,34,25 687,1,"30,2","30,2"
12.07.2023 0:00,34,52 991,1,"32,7","32,7"
04.07.2023 0:00,34,61 278,0,0,0
17.09.2023 0:00,34,27 285,0,0,0
18.09.2023 0:00,34,29 813,0,0,0
29.07.2023 0:00,34,26 083,0,0,0
09.04.2023 0:00,34,32 355,0,0,0
11.04.2023 0:00,34,48 861,0,0,0
03.05.2023 0:00,34,2 501,0,0,0
28.06.2023 0:00,34,25 906,0,0,0
29.07.2023 0:00,34,44 422,4,"118,9","29,725"
10.10.2023 0:00,34,67 245,2,113,"56,5"
28.04.2023 0:00,34,48 868,0,0,0
20.04.2023 0:00,34,31 369,0,0,0
03.07.2023 0:00,34,69 088,0,0,0
05.06.2023 0:00,34,25 741,6,"295,8","49,3"
30.08.2023 0:00,34,69 087,0,0,0
05.06.2023 0:00,34,61 258,1,"34,9","34,9"
03.06.2023 0:00,34,25 897,0,0,0
19.07.2023 0:00,34,48 868,0,0,0
04.08.2023 0:00,34,61 615,2,"63,8","31,9"
22.08.2023 0:00,34,61 277,0,0,0
26.05.2023 0:00,34,25 591,1,"59,5","59,5"
26.05.2023 0:00,34,67 233,2,"129,6","64,8"
06.04.2023 0:00,34,25 933,0,0,0
23.04.2023 0:00,34,25 920,0,0,0
09.04.2023 0:00,34,70 117,0,0,0
19.06.2023 0:00,34,25 882,1,"3,7","3,7"
30.09.2023 0:00,34,25 741,5,"250,74","50,148"
22.10.2023 0:00,34,31 301,0,0,0
03.07.2023 0:00,34,98 466,6,"104,9","17,4833333333333"
28.10.2023 0:00,34,98 466,1,"18,6","18,6"
27.08.2023 0:00,34,69 087,0,0,0
19.06.2023 0:00,34,33 222,2,"97,8","48,9"
22.06.2023 0:00,34,61 255,17,"968,83","56,99"
17.10.2023 0:00,34,61 255,2,"136,2","68,1"
16.07.2023 0:00,34,66 473,0,0,0
