InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice
2023-10-02,61278,1,71.4,41,,2,71.4
2023-10-02,61279,,,41,,2,
2023-10-02,61615,,,41,,2,
2023-10-02,61618,2,45.98,41,,2,22.99
2023-10-02,62788,,,41,,2,
2023-10-02,66305,4,210.4,41,,2,52.6
2023-10-02,67245,,,41,,2,
2023-10-02,67945,1,64.99,41,,2,64.99
2023-10-02,69088,,,41,,2,
2023-10-02,97135,3,112.8,41,,2,37.6
2023-10-02,97785,,,41,,2,
2023-10-02,98466,4,74.4,41,,2,18.6
2023-10-02,2266,,,41,,2,
2023-10-02,2593,1,52.5,41,,2,52.5
2023-10-02,3378,,,41,,2,
2023-10-02,25605,,,41,,2,
2023-10-02,25607,2,65.4,41,,2,32.7
2023-10-02,25617,,,41,,2,
2023-10-02,25801,,,41,,2,
2023-10-02,25882,,,41,,2,
2023-10-02,25901,5,146.5,41,,2,29.3
2023-10-02,25910,,,41,,2,
2023-10-02,25915,,,41,,2,
2023-10-02,25930,8,500.17,41,,2,62.52125
2023-10-02,31215,2,56.6,41,,2,28.3
2023-10-02,31320,1,31.4,41,,2,31.4
2023-10-02,32354,,,41,,2,
2023-10-02,44423,,,41,,2,
2023-10-02,44424,,,41,,2,
2023-10-02,48861,,,41,,2,
2023-10-02,48862,,,41,,2,
2023-10-02,52425,,,41,,2,
2023-10-02,52959,4,130.8,41,,2,32.7
2023-10-02,52960,4,121.2,41,,2,30.3
2023-10-02,53486,4,186.6,41,,2,46.65
2023-10-02,53511,2,65.4,41,,2,32.7
2023-10-02,61117,,,41,,2,
2023-10-02,61162,,,41,,2,
2023-10-02,61179,,,41,,2,
2023-10-02,61277,,,41,,2,
2023-10-02,62806,,,41,,2,
2023-10-02,68132,3,76.5,41,,2,25.5
2023-10-02,95548,,,41,,2,
2023-10-02,97786,1,154.3,41,,2,154.3
2023-10-02,98529,,,41,,2,
2023-10-02,107752,,,41,,2,
2023-10-02,107753,,,41,,2,
2023-10-02,25619,,,41,,2,
2023-10-02,25642,1,42.7,41,,2,42.7
2023-10-02,25764,,,41,,2,
2023-10-02,25878,1,28.01,41,,2,28.01
2023-10-02,25879,,,41,,2,
2023-10-02,25899,,,41,,2,
2023-10-02,25902,2,99.6,41,,2,49.8
2023-10-02,25912,,,41,,2,
2023-10-02,25914,2,70.6,41,,2,35.3
2023-10-02,25922,,,41,,2,
2023-10-02,25923,3,104.1,41,,2,34.7
2023-10-02,25924,2,101.8,41,,2,50.9
2023-10-02,25928,1,26.2,41,,2,26.2
2023-10-02,25933,,,41,,2,
2023-10-02,26083,1,47.1,41,,2,47.1
2023-10-02,27285,,,41,,2,
2023-10-02,27286,,,41,,2,
2023-10-02,29813,,,41,,2,
2023-10-02,34674,,,41,,2,
2023-10-02,47372,,,41,,2,
2023-10-02,50588,,,41,,2,
